slang,definition,example
drip,"Stylish or fashionable, especially in clothing.",His drip today is on point.
drip,"Stylish or fashionable, especially in clothing.",Check out my drip.
drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.
boujee,Luxurious or fancy.,We’re going to a boujee restaurant tonight.
boujee,Luxurious or fancy.,Shes so boujee with her style.
boujee,Luxurious or fancy.,Living the boujee life.
boujee,Luxurious or fancy.,Shes living the boujee life.
jomo,Joy Of Missing Out.,Im all about JOMO these days.
jomo,Joy Of Missing Out.,I prefer JOMO to FOMO any day.
jomo,Joy Of Missing Out.,I prefer JOMO to FOMO.
jomo,Joy Of Missing Out.,Im all about JOMO these days.
salty,Bitter or upset.,Why are you so salty?
salty,Bitter or upset.,Why are you so salty today?
salty,Bitter or upset.,He’s just salty because he lost the game
woke,Being aware of social issues.,"He’s so WOKE, always talking about social justice."
woke,Being aware of social issues.,He’s really woke about climate change.
woke,Being aware of social issues.,"Stay woke, everyone."
woke,Being aware of social issues.,We need to stay woke.
woke,Being aware of social issues.,Stay woke.
tight,Angry or frustrated.,Hes tight about what happened.
tight,Angry or frustrated.,Why are you so tight today?
tight,Angry or frustrated.,Hes tight about what happened.
tight,Angry or frustrated.,Why are you so tight today?
extra,"Over the top, excessive.",Shes so extra with her drama.
extra,"Over the top, excessive.",Shes so extra with her outfits.
extra,"Over the top, excessive.","She brought a whole suitcase for a weekend trip, she’s so extra."
extra,"Over the top, excessive.","Her outfit was so EXTRA, but I loved it!"
oof,An expression of sympathy.,"Oof, that must have hurt."
oof,An expression of sympathy.,"Oof, that must have hurt."
oof,An expression of sympathy.,"Oof, thats tough."
oof,An expression of sympathy.,"Oof, that must have hurt."
swerve,To avoid or move away from something.,I had to swerve to avoid the drama.
swerve,To avoid or move away from something.,She had to swerve that awkward conversation.
swerve,To avoid or move away from something.,I had to swerve to avoid the drama.
swerve,To avoid or move away from something.,She had to swerve that awkward conversation.
zoomer,A member of Generation Z.,"As a Zoomer, she knows all the trends."
zoomer,A member of Generation Z.,Shes such a Zoomer.
zoomer,A member of Generation Z.,"As a Zoomer, shes all about TikTok."
zoomer,A member of Generation Z.,"As a Zoomer, shes into TikTok."
vibes,Good energy.,Im loving the vibes here.
vibes,Good energy.,I love the vibes here.
vibes,Good energy.,I love the vibes here.
slay,To do something exceptionally well.,You slayed that presentation.
slay,To do something exceptionally well.,She slayed that outfit.
slay,To do something exceptionally well.,She’s slaying in that outfit tonight!
slay,To do something exceptionally well.,You totally slayed that presentation!
bop,A song thats really good.,That new track is a bop.
bop,A song thats really good.,"This sword is BOP, so I have to decide if I want it."
bop,A song thats really good.,This new track is a total bop!
yeet,To throw something with force; also used for excitement.,He yeeted the ball across the yard.
yeet,To throw something with force; also used for excitement.,He yeeted the ball.
yeet,To throw something with force; also used for excitement.,"He nailed the jump, YEET!"
yeet,To throw something with force; also used for excitement.,He yeeted the ball across the field.
deadass,Seriously; genuinely.,Im deadass not joking.
deadass,Seriously; genuinely.,Im deadass serious.
deadass,Seriously; genuinely.,Im deadass not joking.
