slang,definition,example
zooted,Under the influence.,They were so zooted they couldn't stop laughing at nothing.
zooted,Under the influence.,Hes zooted right now.
zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.
zoomies,"Sudden burst of energy, often used to describe pets.",She said she gets the zoomies after too much caffeine.
zoomer,A member of Generation Z.,Only a zoomer would think to fix the issue with a TikTok tutorial.
zoomer,A member of Generation Z.,"As a Zoomer, she knows all the trends."
zoomer,A member of Generation Z.,Shes such a Zoomer.
zoomer,A member of Generation Z.,"As a Zoomer, shes all about the latest trends."
zoomer,A member of Generation Z.,"As a Zoomer, shes into TikTok."
ytb,A compliment or expression of gratitude.,"Thanks for the recommendation, YTB!"
ytb,A compliment or expression of gratitude.,"I appreciate your help, YTB!"
ytb,A compliment or expression of gratitude.,"Wow, YTB! I could not have done it without you."
yt,Refers to the popular video-sharing platform YouTube.,"Haven't seen you before, are you on YT?"
yt,Refers to the popular video-sharing platform YouTube.,Check out this video on YT!
ur,"A shorthand way to say your, often used in text or online messaging.",What's UR plan for the weekend?
ur,"A shorthand way to say your, often used in text or online messaging.",She said this would be ur comeback season.
ur,"A shorthand way to say your, often used in text or online messaging.",You'll finish ur homework in an hour?
yolo,You Only Live Once; a call to take risks.,We ordered dessert first because yolo.
yolo,You Only Live Once; a call to take risks.,"I think I'm gonna do it, YOLO!"
yolo,You Only Live Once; a call to take risks.,Let's just go on the trip - YOLO!
ynk,Commonly used in conversations about future possibilities or unknown outcomes.,"Keep your phone charged, ynk when you'll need it."
ynk,Commonly used in conversations about future possibilities or unknown outcomes.,"I might move abroad one day, YNK."
ynk,Commonly used in conversations about future possibilities or unknown outcomes.,"We might win the lottery, YNK!"
yeet,To throw something with force; also used for excitement.,He yeeted the ball across the field.
yeet,To throw something with force; also used for excitement.,"He nailed the jump, YEET!"
yeet,To throw something with force; also used for excitement.,She got yeeted off the trampoline.
yeet,To throw something with force; also used for excitement.,The kid accidentally yeeted his toy into the pool.
yas,"Used to express enthusiastic approval or praise, often in pop culture contexts.",Yas queen! You're killing that outfit!
yas,"Used to express enthusiastic approval or praise, often in pop culture contexts.","YAS, that was so good!"
